iterationName,gameid,time,questionNumber,confused,strategy,comments,totalLength,ratePartner,nativeEnglish,score,firstRole
full_sample,8152-53d896b5-88c1-4b4e-b1cc-e82b73010677,1.550775078494e+12,0,yes,good!,no,895361,loved,yes,32,helper
full_sample,1523-41fb3f66-2e8a-4c5b-9168-7a147c9f931d,1.550775158652e+12,0,yes,"To make it obvious if I was choosing rows or columns so that the leader could help as much as possible, When I was the leader, I would always include additional info if it was clear it would help,",N/A,637050,liked,yes,45,leader
full_sample,9059-09421282-024d-4c3e-b4bd-b7f0ceb27037,1.55077521351e+12,0,yes,"Stressful, there wasn't enough time, and my HIT ended up being timed out even though I started like 2 minutes after I caught it,","Yes, I couldn't submit this HIT because I didn't have the correct code, and now it is too late even though I finished the experiment, I'm extremely frustrated with the timer provided,",793175,liked,yes,40,leader
full_sample,3027-13b3a88c-5455-4321-8b05-a8e477461058,1.550775305141e+12,0,yes,"try to establish a pattern based on what the leader picked,","Nope, it was great!",570956,loved,yes,48,leader
full_sample,8334-a317b274-4182-4e70-bfa4-88c96da25945,1.550775384784e+12,0,yes,pick the correct pattern in as few steps as possible,,841488,okay,yes,45,helper
full_sample,5210-411e7258-c258-4513-adc7-ad74053ac442,1.550775581886e+12,0,yes,asking questions,"Timer was too short and the HIT timed out!!!!!

APEE4S9XXSMGC",1034456,okay,yes,49,helper
full_sample,7059-7aa0b2e4-700e-4574-8ae7-81f2dedd30e9,1.550775593996e+12,0,yes,To provide as much information without penalizing,"none, perhaps the other partner was a researcher?",479833,liked,yes,50,helper
full_sample,5291-510e5261-4696-4096-a0a4-836cd6663a03,1.5507757378e+12,0,yes,,,716622,okay,yes,44,helper
full_sample,5388-f6c5c0b9-77a6-4b21-a128-c3ec7bfc1754,1.550775796785e+12,0,yes,I tried to limit questions with only one outcome,"There isn't enough time allowed for this hit,",726500,loved,yes,54,helper
full_sample,1802-ac622e92-cb81-4ca9-a5ec-266a8717e249,1.550775953597e+12,0,yes,"I looked for the quickest way to complete the goal, either by finding the shortest route or sending more info I thought could help",None,492881,liked,yes,53,leader
full_sample,1947-6494c988-ec24-4560-a5d1-55c3986cc318,1.550776061126e+12,0,yes,just try to get as many in one shot to follow logic of placement,None,673885,okay,yes,36,helper
full_sample,9779-0fe3548f-9f98-48d7-8297-345e7e09ff84,1.550776088433e+12,0,yes,"Give out as much info as possible,",play areas are not side-by-side,887250,liked,yes,45,leader
full_sample,3792-6bb154e9-8481-425d-8b16-91235b01439f,1.550776455761e+12,0,yes,This was actually really fun!,No problems,565258,okay,yes,50,leader
full_sample,4252-e59b2bdb-3fb1-447e-afaa-d6b159f3b6a0,1.550776469542e+12,0,yes,"I tried to base it on what other info I already knew,  I tried not to suggest that I was building a row, if I was doing columns, if possible using the other spots on the map,",,663428,loved,yes,45,leader
full_sample,1722-6f887658-ca87-42c2-8577-06acd2b3fac6,1.550776534136e+12,0,yes,"I tried to get the best positioning possible so that I could find the answer in the least amount of questions, I also tried to give my partner hints,",,674194,loved,yes,46,leader
full_sample,3347-d237e17e-4fae-48ea-a7ce-d5dd46af9615,1.550776789299e+12,0,yes,"Just tried to give as much info as I could when needed,",,654019,loved,yes,52,leader
full_sample,0325-7d2121eb-6729-425a-a767-aa8acb126190,1.550776799881e+12,0,yes,working out what the other was thinking,"No, Thank you,",1015645,okay,yes,47,helper
full_sample,5204-f8c6f0e3-06cc-44a0-b3db-2e5a9d0e1048,1.550777677e+12,0,yes,I wanted to tell the truth to make sure we dno't get the bomb,,457116,loved,yes,44,leader
full_sample,8200-e7d41631-6a3f-442a-8062-0593ac933090,1.550778225336e+12,0,yes,"Always provide more information if possible, Try to make a first selection that helps your teammate understand whether you are trying for columns or rows,",N/A,673084,liked,yes,48,leader
full_sample,2352-568a6230-ff7a-4d96-bf04-f52d69b048b0,1.55077861929e+12,0,yes,"Try to get the answer quickly, or provide the answer quickly",no issues,578241,liked,yes,49,leader
full_sample,2853-01ebe9c0-a724-445d-bc4c-c67e9aa02667,1.550778734098e+12,0,yes,"Least amount of questions to finish the game,","Nope, might want to give a couple more minutes to finish the task tho, Cutting it close here,",823318,liked,yes,42,leader
full_sample,5137-21b550ea-4c59-4091-8dc1-0bbd0215a090,1.550778768111e+12,0,yes,"I tried to either figure out if the leader was asking for columns or rows and just trying to give as much info as possible,","No,",510236,loved,yes,45,helper
full_sample,4267-8f7030d3-ba62-4ab4-be6c-e97e8abd6bd2,1.550780505162e+12,0,yes,"Make it obvious as to what I was trying to complete, so that they could give more info and end quicker, As Helper, I would try to answer 2 squares at a time unless it was obvious",No,581564,okay,yes,47,helper
full_sample,8904-f7c15c5f-0bca-42bf-ae8d-fd8242bd198e,1.550782372773e+12,0,yes,fill in the blank,no,475596,liked,yes,54,helper
full_sample,4351-620d9a2b-4cee-4950-8bd0-6f40133c7b80,1.550782473653e+12,0,yes,try to give the info with minimum questions,none,596263,loved,yes,50,leader
full_sample,4335-2db78a49-e60e-43c5-b2ea-84877e3699d6,1.550782514791e+12,0,yes,Do my best to figure out what they needed and give it to them,,532501,liked,yes,44,helper
full_sample,1176-ee940788-dc30-4bb6-bf8c-d47ec34a5ab9,1.550782667058e+12,0,yes,"Try to get the most information across in the least amount of communication,","Nope,",660991,loved,yes,45,leader
full_sample,6884-6b4feaac-b864-43d6-852f-6ec069a576d8,1.550782818622e+12,0,yes,Just tried to help in as few as possible,Thank you,783874,liked,yes,39,helper
full_sample,8814-17007d74-465d-423c-8164-e03a1afe90ca,1.550782934034e+12,0,yes,"My partner and I tried to get as much information as possible with as few questions,",No problems,591755,okay,yes,45,leader
full_sample,5389-de8b97ca-e8af-41c3-af43-ac3c41a40c3e,1.550782981197e+12,0,yes,"To try and anticipate the other player's needs and to convey the most information possible in each turn,","This was a fun experiment,",634940,liked,yes,49,leader
full_sample,3846-8aec7c5f-487e-48c8-ae96-4470d035fb06,1.550783039141e+12,0,yes,I was trying to keep the questions to a minimum,No problems,505052,loved,yes,48,leader
full_sample,3644-23017109-8f57-4c66-b4e3-fe76a7b036cf,1.550783055814e+12,0,yes,Do everything in as few moves as possible,"None, thank you!",565208,okay,yes,47,leader
full_sample,4491-0e9b60a2-420a-4821-a4cf-0b379ccac248,1.550783056456e+12,0,yes,i would describe my strategy as moderately skilled,NO,767664,liked,yes,43,leader
full_sample,0876-6bf129a0-5ded-42ad-a9ff-2294088c92c1,1.550783142755e+12,0,yes,"Relied on my partner most of the time, The game was pretty straight forward, I used process of elimination,","No, but the bonus feels a bit unfair considering how much time the game took,",638806,liked,yes,42,helper
full_sample,9147-9a217a12-f45e-4cde-b4ef-031b2018f085,1.550783269339e+12,0,yes,"just tried my best, and looked for the bombs",no,965255,loved,yes,41,leader
full_sample,3990-74bdbbc1-b75f-4a76-a147-99b6e49747fb,1.550783314736e+12,0,yes,"Making sure that i provided more info when i could, and Trying my best to make it apparent that i was going for a row or a column,",n/a,673220,loved,yes,46,helper
full_sample,5644-f8312517-bbfa-4e16-96aa-6165a5f58373,1.550783320931e+12,0,yes,"I tried to understood which goal my partner had so I could anticipate and add the correct information (so we could complete them faster),","No, but thanks for the HIT!  I did my best and hope the data is useful!",757103,okay,yes,49,leader
full_sample,3069-844e7d28-7561-42c1-96d1-02b83e8e7787,1.550783359164e+12,0,yes,"I tried to cooperate with my partner to minimize the turns,",no issues,557323,loved,yes,44,helper
full_sample,3831-a6fb4702-292e-4f18-a346-94cc334aea82,1.55078371691e+12,0,yes,"Just trying to read what the other player was thinking the best that I could,","Fun HIT, Thank you,",756572,loved,yes,44,helper
full_sample,7534-7278d69c-fd96-4149-9376-fbca8cdfcff1,1.550783943236e+12,0,yes,"I tried to anticipate rows or columns,  Then, I tried to give information that would help my partner get the appropriate column or row",That was fun!  Thanks so much!,655963,loved,yes,48,leader
full_sample,6130-6df53117-8ddf-4ef6-aaa3-54afbe246f10,1.55078414107e+12,0,yes,"To figure out whether my partner was trying to complete rows or columns and give as much information as possible, When I was the leader I would pick a square that would help my partner figure out what I was trying to complete",no,663985,loved,yes,47,leader
full_sample,6993-da4b0b7b-556a-4d49-866b-0f845f57e8ac,1.550784361756e+12,0,yes,get through it quick,,1122702,okay,yes,39,leader
full_sample,1428-3808e259-18ce-4657-9fbd-32d10ee567e0,1.550784426468e+12,0,yes,i know the boxes in each row,none,958370,okay,yes,28,leader
full_sample,9221-836ceddc-684c-4e33-83a7-8767b12473bd,1.550784441292e+12,0,yes,Try my hardest to see what they were trying to accomplish and try my hardest to convey what I needed,No,604725,liked,yes,51,leader
full_sample,7284-9392b9c6-4b73-471f-90f3-36ceb4d25678,1.550784666738e+12,0,yes,rule out conflicts asap,"no problems, fun hit, thanks very much!",769075,loved,yes,45,helper
full_sample,5558-a4f50e61-21f0-43b0-94b5-77e6105d26fa,1.550784770347e+12,0,yes,"Whether asking a question or giving an answer, try and make it obvious to my partner whether I want a row or a column,",No,615789,loved,yes,52,leader
full_sample,3255-f48c3d63-901d-49ad-9c41-f3daefb4875d,1.550784814342e+12,0,yes,I tried to listen to my partner's suggestions,none,624036,okay,yes,40,helper
full_sample,3392-1f7b3ff5-1fcb-491e-88e9-ff1b86d587da,1.550784864891e+12,0,yes,"It was very fun, Some rounds didn't go perfectly but I think we did well,","No, everything went smoothly",583501,liked,yes,52,helper
full_sample,3885-65dc02fa-a7d1-4d56-9452-b4248093315f,1.550785056406e+12,0,yes,"I tried to determine if the other player was trying to clear rows or columns, and provide extra information based on that,","No problems,",673610,loved,yes,40,helper
full_sample,9647-a9cac243-075b-4065-a66b-ecef190f8240,1.550785168909e+12,0,yes,"T try to guess whether my partner had rows or columns so that we could win in the least moves,","No,",652095,loved,yes,47,leader
full_sample,7128-0c0e1ce6-ee4b-490c-b410-3d7b149951a3,1.55078795175e+12,0,yes,"I don't know how I would describe it, I used logic and my best reasoning to determine which squares needed to be uncovered,",No problems,574912,loved,yes,50,leader
full_sample,6196-2dd1d2c2-727e-4ba3-b4af-232367653086,1.550788076245e+12,0,yes,after figuring it out tried to fill 2 spots with one question,it was a little tricky to understand the instructions till I was in the game a trail run would have been nice,722114,loved,yes,45,leader
full_sample,5377-cf6cbfe8-5b7b-41cb-bba7-029337762f34,1.550788104049e+12,0,yes,"After getting use to playing i then started to add more information so that we could get done quicker and earn the bonus,",no,734122,liked,yes,42,helper
full_sample,2598-4b773c8a-92a7-432e-af1f-460512efea59,1.550788110144e+12,0,yes,I just tried to figure out which square they would need next by the question they were asking,"no problems, Fun study!",653540,okay,yes,49,leader
full_sample,6871-2b9454c8-058e-43f8-98df-52b2c982fc52,1.550788114847e+12,0,yes,told the truth and tried to find the most economical way to complete goal,was interesting thanks for the opportunity,764536,liked,yes,41,leader
full_sample,8604-b8709f26-d152-4ed3-86aa-4db533b57f66,1.55078811569e+12,0,yes,"not sure, decide what they are trying to do and go off of that",nope!,526299,liked,yes,45,leader
full_sample,7163-e9dfd122-321f-4758-acf7-10d1ce3667cb,1.550788170084e+12,0,yes,I just looked the rows and columns and if there was a green checkmark I asked accordingly and went from there,,736567,loved,yes,48,leader
full_sample,8149-96406da3-8fec-4caf-8993-4bef9a1ac68c,1.550788202379e+12,0,yes,"Minesweeper came to mind, Interesting experience!",,783694,okay,yes,38,helper
full_sample,9340-eb1d2e00-2b32-4896-8463-53cc3575f997,1.550788284903e+12,0,yes,"My strategy was to work together as much as possible and always give extra information,",No problems,776373,loved,yes,50,helper
full_sample,5438-dfb6f824-f99e-490a-b2d5-91497a466796,1.550788302993e+12,0,yes,"When leader to help the helper figure out what I was going for, so they could reveal extra useful info, and as helper to try to provide extra info to leader the leader in the right direction",No,790342,liked,yes,49,leader
full_sample,0707-bbf3880a-9abe-452a-a3be-fc15bda0e0a8,1.550788370946e+12,0,yes,"I tried to give my partner additional info each round to complete in the least amount of turns,","NO,  This was a fun experiment,  Thank you!",717630,loved,yes,48,leader
full_sample,8071-f264751f-ba40-404a-84ee-17de134fdfe2,1.550788383824e+12,0,yes,"Thinking what their goal might be ( rows, columns) and anticipating that to provide extra information to deter or help their decisions, We want the lowest number of rounds as possible,","No problems I thought this was fun,",860802,loved,yes,51,leader
full_sample,1076-6e6e2a7a-b8e9-4627-bacc-9d7fa09fe091,1.550788463369e+12,0,yes,"I decided to prevent the bad ones,  Once that was eliminated, it was easier to spot the good ones,","I had no issues,  Only thing is that after we won, it wasn't up long enough for me to read the results after each one,  Few more seconds at least at the beginning would be helpful,  I enjoyed it, Thank you,",921370,loved,yes,47,helper
full_sample,4061-08a390a2-f9fb-423a-9544-c1e47108a6c4,1.550788582084e+12,0,yes,"I just tried to add as much info as I could when I was helper,","everything worked fine, Thanks for the fun hit,",1084450,okay,yes,44,helper
full_sample,2598-97e46658-a051-4d88-8360-0434f31da128,1.550788612467e+12,0,yes,"I just tried to read what my partner required based on their questions,",Thank you!,588946,liked,yes,49,leader
full_sample,2133-b8f250a7-a06d-4929-a097-f232d2ff5dc7,1.550788673492e+12,0,yes,"I guessed when I was a helper and tried to start from top as a leader,",,927572,loved,yes,44,leader
full_sample,2212-059b4a3c-ceaa-4818-9ac8-9aeafb7b162f,1.550788706399e+12,0,yes,"forget how to play the game, and then remember",,629695,not much,yes,50,leader
full_sample,2798-369efd00-be2b-40bf-a6a9-99fded24bf7d,1.550788833845e+12,0,yes,"I tried to make sure to send extra info to avoid too many questions,","No problems or errors at all in this experiment,",564600,loved,yes,43,helper
full_sample,2670-0f1fd105-e560-40af-b7f2-e404f904dc12,1.550788891003e+12,0,yes,"It was fun, And I just saved a move every time by adding more info,",No,758121,loved,yes,46,leader
full_sample,4563-1c941acd-1776-4705-86bb-3787c0e14e3e,1.550788983557e+12,0,yes,"I realized that returning feedback of ""not safe"" doesn't help to solve the puzzle faster,  So always return a ""safe"",",I enjoyed this HIT!,871156,loved,yes,48,helper
full_sample,6507-16b9b2f3-e5c1-49d3-ace2-61249d75483f,1.550788987831e+12,0,yes,Try to find the least amount of questions needed,,584158,loved,yes,50,helper
full_sample,6119-74855da1-4763-4acf-b9db-5288a5f7da87,1.550789064955e+12,0,yes,Make your rows as soon and safe as possible,no,766507,liked,yes,40,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789087851e+12,0,yes,To help the other player,,528933,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789090962e+12,0,yes,To help the other player,,532044,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789124428e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",565509,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789125639e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",566718,liked,yes,42,leader
full_sample,3568-d01d00df-fe0d-4800-b871-314869786b00,1.550789137451e+12,0,yes,"Try to understand what the leader was looking for, and offer as much information as possible in one turn (i,e,, two blocks)",No,788456,liked,yes,48,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789142994e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",584076,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789143174e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",584256,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789143334e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",584415,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789143512e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",584593,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789150249e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",591331,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789153306e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",594384,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789153491e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",594572,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789153656e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",594738,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789153819e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",594901,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789153998e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",595078,liked,yes,42,leader
full_sample,5251-95f91142-9882-4e75-9bee-a997a5e1bf64,1.550789154161e+12,0,yes,To help the other player,"I timed out before I could submit this on Mturk, could you pay me by bonus?",595244,liked,yes,42,leader
full_sample,2253-4a2f4ff1-64bb-4226-816e-0125b326fef1,1.550789241148e+12,0,yes,trying to complete it in as few turns as possible,"my HIT expired so i cant submit it, but i wanted to complete it for my partner",668683,okay,yes,43,helper
full_sample,0680-ffbda785-2eae-4f4c-af28-ae7da9904c39,1.550789305427e+12,0,yes,to be efficient for both players,no,925798,loved,yes,38,helper
full_sample,5686-c9a60b18-3cb8-4d76-9150-85c620a93c7c,1.550789569244e+12,0,yes,complete each round in one or two moves,no,531191,okay,yes,49,helper
full_sample,4038-0da3abb9-6138-4694-8712-cba9e6af2aa8,1.550789748354e+12,0,yes,"Tried to figure out if the leader was doing columns or rows, and give them what was safe in what I thought they were looking for,",no,596102,liked,yes,52,leader
full_sample,2519-45f50a93-e9d8-49ff-84b9-3d6af0ea352e,1.550789983879e+12,0,yes,Decide what the best move was to complete in least amount of moves,No,686841,loved,yes,48,leader
full_sample,6928-fd278999-f7d0-40b5-aa78-3ea84fd499a9,1.550790125327e+12,0,yes,"Chose the farthest piece to show either column or row,","Nothing to add,",782360,loved,yes,50,leader
full_sample,3340-7859f130-78c4-46c3-8726-1d0ab22453d3,1.550790133107e+12,0,yes,"try to share as much inf I can in as few questions as I could,",No,897716,liked,yes,45,leader
full_sample,0443-7523f002-3863-4efe-ae92-7a14ea2e3112,1.550790166554e+12,0,yes,"Just watched what my partner sent,",None,689442,loved,yes,51,leader
full_sample,8918-511a4c0d-814e-4112-af01-32c8e07e070f,1.550790304997e+12,0,yes,"Try to place additional information in the best way I can think for the other person to find the pattern faster,",Nope,622191,okay,yes,51,leader
full_sample,8269-5f517944-1d21-4ed4-9bfd-6aa81d4b0a10,1.550790306119e+12,0,yes,"Try to ask questions that can both solve the puzzle quickly and give the other person a clue as to what I am trying to do,  On the other end, try to deduce the goal and provide useful extra information,",,856570,liked,yes,43,leader
full_sample,4022-896f6c56-7463-48b6-89b7-09f98bfdf913,1.55079033629e+12,0,yes,I listen carefully to the partner,time expired,830825,not much,yes,29,leader
full_sample,0116-4695fa5f-6b2c-4c0a-8927-a3cb77ecb340,1.55079039791e+12,0,yes,"I tried to assume whether the other player had to select a column or row and proceeded from there,",,803604,loved,yes,43,helper
full_sample,3793-5f9e13c1-8e5f-47f1-83e3-a6a8a15c51d7,1.550790407363e+12,0,yes,I thought about how to make the fewest moves and communicate effectively,no,589502,liked,yes,46,leader
full_sample,2192-5d203077-3641-458d-af0a-692e3bdf5a8a,1.550790458388e+12,0,yes,simple and entertaining,no,664320,liked,yes,46,leader
full_sample,4636-2a3b0932-5e49-4db4-8c19-a9949c186431,1.550790687756e+12,0,yes,Tried to give hints that would get to the finish line quickly,no,656857,liked,yes,46,leader
full_sample,5188-eeef1bb9-c908-4cc7-88b9-cae12b700405,1.5507909931e+12,0,yes,"I watched where he wanted the line to move and tried to fill in his line accordingly,",,545326,loved,yes,45,leader
full_sample,2825-c6547ae9-de59-42e1-8332-2f3151569020,1.550791045522e+12,0,yes,Tried to make it clear when I was either trying to fill a row or column and predicted if my partner was trying to fill rows or columns and gave them clues based on that,n/a,639008,loved,yes,51,leader
full_sample,7485-7fddb7c4-8449-4771-b24e-c20bedaf2c1a,1.550791946e+12,0,yes,"I was trying to make sure my partner understood whether I was doing rows or columns as well as trying to guess what they were doing based on their questions,","No,",842174,liked,yes,51,helper
