workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.id,Answer.catch_trials
10,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3RXPCZQMQPB2RUPH6MZ1ZTUBJP7G13,10,Approved,Tue May 26 09:13:27 PDT 2015,Mon May 25 16:18:33 PDT 2015,Mon May 25 16:33:27 PDT 2015,Mon May 25 17:45:36 PDT 2015,,,,,"""4707-6""",[]
11,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3907X2AHF05FTS0CS9P2YLI8CM82PA,11,Approved,Tue May 26 09:13:33 PDT 2015,Mon May 25 16:18:23 PDT 2015,Mon May 25 16:33:33 PDT 2015,Mon May 25 17:45:37 PDT 2015,,,,,"""4707-6""",[]
12,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,340UGXU9DY11IO6AX587AW2IH1SUV5,12,Approved,Tue May 26 09:14:18 PDT 2015,Mon May 25 16:18:30 PDT 2015,Mon May 25 16:34:18 PDT 2015,Mon May 25 17:45:37 PDT 2015,,,,,"""9619-0""",[]
13,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,33FBRBDW6OZ7LITX3LCXOCW4Z3L8C5,13,Approved,Tue May 26 09:15:35 PDT 2015,Mon May 25 16:18:34 PDT 2015,Mon May 25 16:35:35 PDT 2015,Mon May 25 17:45:37 PDT 2015,,,,,"""9619-0""",[]
14,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3N8OEVH1FRQBFZDG07AKGYGL3M8OOL,14,Approved,Tue May 26 09:16:23 PDT 2015,Mon May 25 16:18:28 PDT 2015,Mon May 25 16:36:23 PDT 2015,Mon May 25 17:45:37 PDT 2015,,,,,"""3709-7""",[]
15,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3FDJT1UU7486HYMJX0MS0BZL2MSK5R,15,Approved,Tue May 26 09:16:27 PDT 2015,Mon May 25 16:18:31 PDT 2015,Mon May 25 16:36:27 PDT 2015,Mon May 25 17:45:37 PDT 2015,,,,,"""3709-7""",[]
16,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3XC1O3LBOSMJM6FRJWGRIRIE7PKLTN,16,Approved,Tue May 26 09:28:24 PDT 2015,Mon May 25 16:18:27 PDT 2015,Mon May 25 16:48:24 PDT 2015,Mon May 25 17:45:37 PDT 2015,,,,,"""5253-e""",[]
17,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3Y4W8Q93LZKF1MVOBAII0WYUV1YDVF,17,Approved,Tue May 26 09:28:24 PDT 2015,Mon May 25 16:23:21 PDT 2015,Mon May 25 16:48:24 PDT 2015,Mon May 25 17:45:38 PDT 2015,,,,,"""5253-e""",[]
18,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3MX2NQ3YC9UC1YLQWJ1HQ57NYV7X5T,18,Approved,Tue May 26 09:50:31 PDT 2015,Mon May 25 16:43:09 PDT 2015,Mon May 25 17:10:31 PDT 2015,Mon May 25 17:45:38 PDT 2015,,,,,"""9403-3""",[]
19,335HHSX8CD57X12AGJWCWCC27T5DH0,379Y3Z5FS57N06MCUCYNU87ASLO1TW,Multi-player Guessing Game,"Play a 15 minute guessing game with another Turker! There are four objects behind four gates. One player will be trying to find a particular object, and the other will know where all the objects are located. The guesser is allowed to ask the helper a single question, and the helper is allowed to reveal the location of one item. Choose carefully!",research multiplayer language questions answers stanford fun cognitive science university,$1.25,Mon May 25 16:16:19 PDT 2015,20,0,0,20,Reviewable,NotReviewed,1 cond,3600,60000,Wed Jun 24 16:16:19 PDT 2015,https://requester.mturk.com/mturk/manageHIT?HITId=335HHSX8CD57X12AGJWCWCC27T5DH0,3WJ1OXY92AGJS3WZJ7G6IH6GZ008A3,19,Approved,Tue May 26 09:51:55 PDT 2015,Mon May 25 16:18:27 PDT 2015,Mon May 25 17:11:55 PDT 2015,Mon May 25 17:45:38 PDT 2015,,,,,"""9403-3""",[]
