workerid	q_explanation	q_exp_tag	trial_type	a_explanation	helpful
14	she has a dog, and is trying to make conversation about something you have in common	conversation	pets_id	They gave a minimal response, which means they aren&quotechart interested in a conversation	0.26
14	she is hungry and would prefer mexican	  pr	foods_sib	they assume she is hungry and want to satisfy that need, although they don&quotechart have mexican as such	0.68
14	she needs a ride	pr	vehicles_super	they didn&quotechart see the question behind the question	0.29
14	he needs to borrow a shirt (maybe he spilled something on his?)	 pr	clothes_sub	to see if this type of shirt would satisfy the need (does he need a fancier shirt, for example, because he&quotechars going to work)	0.75
15	she ruined hers.	pr	clothes_super	the other person wanted     Alice to know that he/she had appropriate clothes	0.51
15	She had a craving for Mexican food.	pr	foods_sub	because burritos are Mexican food.	1
15	because she needed a ride	pr	vehicles_sib	because their vehicle was a truck	0.9
15	she liked dogs	   conversation	pets_id	Alice asked.	1
16	he wants to borrow a shirt	pr	clothes_sub	they don&quotechart have a shirt,just a polo	0.49
16	he has something useful for a dog	info	pets_sib	they really don&quotechart have a dog	0.5
16	she wants to have a ride	pr 	vehicles_id	he can take sally on his car	0.5
16	bob wants mexican food	    pr	foods_super	they don&quotechart have mexican food, just food in general	0.01
17	he wants to know if I like them.	info	pets_sib	it directly answered Bob&quotechars question in saying he do NOT have a dog, a possibly prefers cats to dogs!??	0.92
17	he&quotechars being silly!	conversation	clothes_sub	he assuming Charles was being silly so wants to &quotecharone up him&quotechar with giving a high end brand.	0.61
17	he must enjoy that type of cuisine and is hungry for it.	pr	foods_super	they don&quotechart have mexican food available.	0.91
17	she needs a ride to go somewhere.	pr	vehicles_id	they didn&quotechart want to commit by asking if she needed a ride so simply answered her question with a yes.	0.94
18	to ask for ride.	pr	vehicles_super	To see if I need a ride.	0.84
18	to have something to talk about.	conversation	pets_id	to see if we have things in common.	0.51
18	She like mexican food.	  info	foods_sib	to brag.	0.14
18	he needs a shirt.	  pr	clothes_sub	to see if you need a shirt.	0.31
19	Charles wanted some mexican food.	pr	foods_id	they had mexican food and were willing to share.	1
19	Sally might be allergic to dogs or not like them very much	info	pets_sub	Because she wanted to keep Sally informed.	0.98
19	Sally might need a ride.	pr	vehicles_sib	Because it is not a "car" but it is a motor vehicle.	0.99
19	Maybe she spilled something on her shirt and wants to borrow one.	pr	clothes_super	they aren&quotechart very open about what they do and don&quotechart have.	0.22
20	She needs a ride.	pr	vehicles_sub	To impress the person	0.54
20	She likes dogs.	  conversation	pets_super	They don&quotechart have a dog.	0.16
20	She&quotechars hungry and likes mexican food.	pr	foods_sib	Because they do not have mexican food.	0.32
20	He wants to borrow one.	  pr	clothes_id	They have a shirt.	0.98
21	she may want to be driven to a destination.	pr	vehicles_super	they want to answer her question with confirmation of her question.	0.97
21	he wants a dog.	pr	pets_sib	they may think he wants to know if they have any type of pet in general.	0.37
21	she may want to eat Mexican food.	pr	foods_sub	Sally may want a certain kind of Mexican food.	0.63
21	he may need a shirt.	    pr	clothes_id	he may want to offer one.	0.91
22	His shirt was soaked with rain and he needed to borrow one. 	pr	clothes_sub	They thought the type of shirt would be important to Charles.	1
22	Bob wanted some mexican food to eat.	pr	foods_super	They did not have mexican food but did not want to say so.	0.22
22	Bob likes dogs and wants to start a conversation about them.	conversation	pets_sib	The person does not have a dog but is a pet lover and is willing to discuss pets generally and wants to show they are will to enter into a conversation.	0.68
22	Sally wanted to get a ride somewhere.	 pr	vehicles_id	They are answering the question without reference to what the reason behind it might be.	0.71
23	it is cold out	pr	clothes_id	Bob may need a shirt because he is cold	0.77
23	he is hungry	pr	foods_super	they are going to share	0.45
23	she needs a ride	pr	vehicles_sub	so she could go for a ride	0.61
23	he likes dogs	conversation	pets_sib	thats what they have	1
24	she wants to eat Mexican food.	pr	foods_sub	they&quotecharre willing to give Sally the burritos.	1
24	you aren&quotechart wearing a shirt.	pr	clothes_id	they want to reassure Bob that yes, they have a shirt.	1
24	he likes or dislikes dogs.	conversation	pets_sib	you&quotecharve seen one pet, you&quotecharve seen them all.	0
24	she doesn&quotechart have a car and needs to get somewhere somewhat distant.	pr	vehicles_super	they migt be willing to help her.	0.73
