workerid	q_explanation	trial_type	a_explanation	helpful	language	enjoyment	gender	age	comments	asses	education	OS	screenH	screenW	Browser	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.catch_trials	Answer.condition	Answer.time_in_minutes
2	she wants a ride somewhere.	vehicles_sub	they wanted to show off their sports car.	0.54	English	2	Male	26		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X73LLYYQ1EJ5XRHVFFHH0JFPUNNHB	2	Approved	Tue Nov 11 02:24:57 PST 2014	Mon Nov 10 09:38:02 PST 2014	Mon Nov 10 09:44:57 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	6.8718
2	she&quotechars making polite conversation.	pets_super	they don&quotechart want to talk to Sally and gave a purposefully vague answer.	0.04	English	2	Male	26		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X73LLYYQ1EJ5XRHVFFHH0JFPUNNHB	2	Approved	Tue Nov 11 02:24:57 PST 2014	Mon Nov 10 09:38:02 PST 2014	Mon Nov 10 09:44:57 PST 2014	Mon Nov 10 09:54:56 PST 2014					[]	{}	6.8718
3	she hungry for mexican food.	foods_sib	that is the food they have.	0.38	English	2	Male	33	interesting hit with multiple open ended answers it makes you think.	Yes	2	Windows	1080	1920	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X4JMASXCM96TOWOUH3NKDK4MO90BZ	3	Approved	Tue Nov 11 02:39:24 PST 2014	Mon Nov 10 09:50:06 PST 2014	Mon Nov 10 09:59:24 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	9.270166666666666
3	she could be allergic to dogs.	pets_sub	they have a dog.	0.65	English	2	Male	33	interesting hit with multiple open ended answers it makes you think.	Yes	2	Windows	1080	1920	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X4JMASXCM96TOWOUH3NKDK4MO90BZ	3	Approved	Tue Nov 11 02:39:24 PST 2014	Mon Nov 10 09:50:06 PST 2014	Mon Nov 10 09:59:24 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	9.270166666666666
3	maybe he needs a shirt.	clothes_id	they have a shirt.	0.67	English	2	Male	33	interesting hit with multiple open ended answers it makes you think.	Yes	2	Windows	1080	1920	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X4JMASXCM96TOWOUH3NKDK4MO90BZ	3	Approved	Tue Nov 11 02:39:24 PST 2014	Mon Nov 10 09:50:06 PST 2014	Mon Nov 10 09:59:24 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	9.270166666666666
3	she needs a ride to someplace.	vehicles_super	they have a car.	0.79	English	2	Male	33	interesting hit with multiple open ended answers it makes you think.	Yes	2	Windows	1080	1920	Firefox	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3X4JMASXCM96TOWOUH3NKDK4MO90BZ	3	Approved	Tue Nov 11 02:39:24 PST 2014	Mon Nov 10 09:50:06 PST 2014	Mon Nov 10 09:59:24 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	9.270166666666666
4	she is hungry and wants Mexican food.	foods_sib	they are trying to offer Sally something else she may want in lieu of Mexican food.	0.41	English	1	Female	31	Pay is on the low side for this type of writing HIT. Should be at least $0.30. Otherwise, interesting. Thanks.	Yes	1	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	36DSNE9QZ5YXEOMJKUIF82ZZSW1OJ1	4	Approved	Tue Nov 11 03:32:00 PST 2014	Mon Nov 10 10:45:55 PST 2014	Mon Nov 10 10:52:00 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	6.049683333333333
4	he needs a shirt to wear.	clothes_id	they have a shirt he can wear. 	0.87	English	1	Female	31	Pay is on the low side for this type of writing HIT. Should be at least $0.30. Otherwise, interesting. Thanks.	Yes	1	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	36DSNE9QZ5YXEOMJKUIF82ZZSW1OJ1	4	Approved	Tue Nov 11 03:32:00 PST 2014	Mon Nov 10 10:45:55 PST 2014	Mon Nov 10 10:52:00 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	6.049683333333333
4	she is  afraid of dogs and won&quotechart come in if I have one. 	pets_sub	they have a dog, but dalmatians are generally nice dogs, so they want to alleviate fears. 	0.57	English	1	Female	31	Pay is on the low side for this type of writing HIT. Should be at least $0.30. Otherwise, interesting. Thanks.	Yes	1	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	36DSNE9QZ5YXEOMJKUIF82ZZSW1OJ1	4	Approved	Tue Nov 11 03:32:00 PST 2014	Mon Nov 10 10:45:55 PST 2014	Mon Nov 10 10:52:00 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	6.049683333333333
4	Alice needs a ride.	vehicles_super	because they have a mode of transportation, but it might not accommodate Alice. 	0.25	English	1	Female	31	Pay is on the low side for this type of writing HIT. Should be at least $0.30. Otherwise, interesting. Thanks.	Yes	1	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	36DSNE9QZ5YXEOMJKUIF82ZZSW1OJ1	4	Approved	Tue Nov 11 03:32:00 PST 2014	Mon Nov 10 10:45:55 PST 2014	Mon Nov 10 10:52:00 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	6.049683333333333
5	he&quotechars curious if I have a dog	pets_sib	to become part of the conversation and to alert bob they do not have a dog	0.17	english	1	Female	45		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3EWIJTFFVO740R88485DLLQPPLR0E4	5	Approved	Tue Nov 11 03:51:19 PST 2014	Mon Nov 10 11:07:09 PST 2014	Mon Nov 10 11:11:19 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	4.133933333333333
5	she may be hungry for mexican food	foods_sub	alerting Sally they have burritos which is mexican may help sally	0.75	english	1	Female	45		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3EWIJTFFVO740R88485DLLQPPLR0E4	5	Approved	Tue Nov 11 03:51:19 PST 2014	Mon Nov 10 11:07:09 PST 2014	Mon Nov 10 11:11:19 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	4.133933333333333
5	I may be shirtless	clothes_super	to be helpful	0.71	english	1	Female	45		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3EWIJTFFVO740R88485DLLQPPLR0E4	5	Approved	Tue Nov 11 03:51:19 PST 2014	Mon Nov 10 11:07:09 PST 2014	Mon Nov 10 11:11:19 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	4.133933333333333
5	sally needs a ride	vehicles_id	to be helpful to sally	0.75	english	1	Female	45		Yes	2	Windows	768	1366	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3EWIJTFFVO740R88485DLLQPPLR0E4	5	Approved	Tue Nov 11 03:51:19 PST 2014	Mon Nov 10 11:07:09 PST 2014	Mon Nov 10 11:11:19 PST 2014	Mon Nov 10 15:46:45 PST 2014					[]	{}	4.133933333333333
6	she needs a ride.	vehicles_sib	a truck is a vehicle that is not a car.	0.23	English	1	Female	23		Yes	2	Mac	800	1280	Safari	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3B2X28YI3WF17ZI3W6J4TEUVZR46BF	6	Approved	Tue Nov 11 05:04:43 PST 2014	Mon Nov 10 12:00:15 PST 2014	Mon Nov 10 12:24:43 PST 2014	Mon Nov 10 15:46:46 PST 2014					[]	{}	3.1346833333333333
6	some people keep dogs as pets.	pets_sub	a dalmatian is a type of dog.	1	English	1	Female	23		Yes	2	Mac	800	1280	Safari	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3B2X28YI3WF17ZI3W6J4TEUVZR46BF	6	Approved	Tue Nov 11 05:04:43 PST 2014	Mon Nov 10 12:00:15 PST 2014	Mon Nov 10 12:24:43 PST 2014	Mon Nov 10 15:46:46 PST 2014					[]	{}	3.1346833333333333
6	the person to put a shirt on.	clothes_id	the person does have a shirt.	0.8	English	1	Female	23		Yes	2	Mac	800	1280	Safari	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3B2X28YI3WF17ZI3W6J4TEUVZR46BF	6	Approved	Tue Nov 11 05:04:43 PST 2014	Mon Nov 10 12:00:15 PST 2014	Mon Nov 10 12:24:43 PST 2014	Mon Nov 10 15:46:46 PST 2014					[]	{}	3.1346833333333333
6	Bob wants mexican food.	foods_super	they have food that isn&quotechart mexican.	0	English	1	Female	23		Yes	2	Mac	800	1280	Safari	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3B2X28YI3WF17ZI3W6J4TEUVZR46BF	6	Approved	Tue Nov 11 05:04:43 PST 2014	Mon Nov 10 12:00:15 PST 2014	Mon Nov 10 12:24:43 PST 2014	Mon Nov 10 15:46:46 PST 2014					[]	{}	3.1346833333333333
7	he needs to borrow a shirt.	clothes_id	it was a yes or no question, and they do have a shirt.	0.59	English	2	Female	44	The slider at the bottom was hard to find, even after I switched to a browser that would show it.  Why hide it??	Yes	4	Mac	720	1280	Chrome	3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3KBQBQZF89AL22659EIW0ZZG7AIPA8	Questions and Answers	Participate in a 3-5 minute cognitive science study about how people ask and answer questions!	language research stanford fun cognitive science university	$0.10	Mon Nov 10 09:37:13 PST 2014	30	5	0	25	Reviewable	NotReviewed	1 cond	1800	60000	Tue Nov 11 17:50:07 PST 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3PKJ68EHDNWK0N22QFINZA7F5VAHJJ	3FE7TXL1LIN0T41RSM4RYQ8I5MEQ25	7	Approved	Tue Nov 11 06:45:30 PST 2014	Mon Nov 10 13:58:13 PST 2014	Mon Nov 10 14:05:30 PST 2014	Mon Nov 10 15:46:46 PST 2014					[]	{}	4.68535
