workerid,thinksHuman,role,nativeEnglish,comments
175,no,guesser,yes,"Wow! It seemed like their responses were awfully fast to be human. Great job, Turker!"
176,yes,guesser,yes,no comments
177,yes,helper,yes,Nice change of pace!
178,no,helper,yes,none
179,yes,guesser,yes,
180,yes,guesser,yes,nope 
181,yes,helper,yes,it was fun
182,yes,guesser,yes,Thank you
183,yes,helper,yes,"I REALLY enjoyed this. As a computer programmer, I live if this, not that scenarios."
184,no,helper,yes,
185,yes,guesser,yes,
186,yes,helper,yes,thanks
187,no,guesser,yes,
188,no,guesser,yes,Thank you
189,yes,helper,yes,no
190,yes,helper,yes,fun fun fun
191,yes,guesser,yes,"Question 7, said to choose the angler fish.  I picked the right door with the angler fish and it told me I was incorrect, it was supposed to be the dalmation."
