iterationName,gameid,time,role,confused,strategy,comments,totalLength,ratePartner,nativeEnglish,quizFailCounter,score,firstRole
full_sample,7166-dfa6d44b-5024-4883-b3a4-4c851a2d039d,1.546218057479e+12,helper,yes,"If a possible pair included the same card, choose the other card,",no,285996,okay,yes,0,25,
full_sample,7166-dfa6d44b-5024-4883-b3a4-4c851a2d039d,1.546218066332e+12,seeker,yes,"I asked about the first card in the set, but forgot to notice that they were the same in one round,","fun hit, Thank you!",315534,liked,yes,3,25,
full_sample,8949-bc9824e1-4505-4ca5-abda-5b581ae45a31,1.546218170138e+12,helper,confused,click on what they said they needed,,333866,liked,yes,0,25,
full_sample,8949-bc9824e1-4505-4ca5-abda-5b581ae45a31,1.546218179275e+12,seeker,yes,Give good directions and follow them,,397728,okay,yes,1,25,
full_sample,2550-2b0135f4-394f-41f1-88e1-f835ffb83f6e,1.546220831673e+12,seeker,yes,"Select the card that is not the same with the other one,","
None",213161,loved,yes,0,20,
full_sample,2550-2b0135f4-394f-41f1-88e1-f835ffb83f6e,1.546220845476e+12,helper,yes,I was kind of guessing and using a common card if there were more than one combo using the same card,"none, thank you,",218102,liked,yes,0,20,
full_sample,2696-613404f0-4409-43e0-bf31-3655eb4c1a40,1.546220910463e+12,seeker,yes,"Well my partner clearly didn't read the instructions and they left when I pointed that out, so I didn't really have a strategy I guess,",,157510,not much,yes,1,0,
full_sample,2035-844d20ce-001f-490f-8a39-b40f745265e7,1.546220926052e+12,helper,yes,just asking,,205341,liked,yes,1,30,
full_sample,9519-1487205d-b2e3-4d23-9784-0fb7c1ad347f,1.546220927995e+12,seeker,yes,Guessing,None,168627,not much,yes,0,0,
full_sample,2035-844d20ce-001f-490f-8a39-b40f745265e7,1.546220930664e+12,seeker,yes,"I asked about the unique cards, ","It was short but sweet,  A longer version would have been okay, it was a good game, ",215118,liked,yes,0,30,
full_sample,5574-766e19e3-50be-43bc-ae94-5ca8ce11c4d8,1.546220952919e+12,seeker,yes,I tried to respond quickly to my partners rquests,no,140535,liked,yes,0,0,
full_sample,8488-6e84c0b5-dd03-4b89-ad3e-a07b88ae6951,1.5462209611e+12,seeker,yes,Try to be as clear in my messages as I could,No,167229,liked,yes,2,25,
full_sample,2517-3580ccc9-155a-4544-863b-6e9c934de820,1.546220966552e+12,helper,yes,"Describing the cards associated with the combo as clearly as possible,","Nothing to report,",255914,loved,yes,2,30,
full_sample,2517-3580ccc9-155a-4544-863b-6e9c934de820,1.546220968311e+12,seeker,yes,Communicate with partner the best I can,No,311806,loved,yes,0,30,
full_sample,8488-6e84c0b5-dd03-4b89-ad3e-a07b88ae6951,1.546220968624e+12,helper,yes,I tried to answer the questions honestly and quickly,the experiment was fun,168432,okay,yes,1,25,
full_sample,6484-7dcef059-2565-48cd-b22d-17f2a03e942e,1.546221036778e+12,seeker,yes,"I couldn't do anything, they disconnected",My partner was dumb,325855,not much,yes,1,0,
full_sample,6777-28246015-72f0-4cfc-9d74-c50be36a5400,1.546221118265e+12,seeker,yes,,,299068,okay,yes,0,0,
full_sample,7014-a164176a-35ae-48c2-a651-b0c33c4c605d,1.546221122508e+12,helper,yes,,Confusing instructions,332529,not much,yes,0,5,
full_sample,7014-a164176a-35ae-48c2-a651-b0c33c4c605d,1.546221152557e+12,seeker,yes,I tried to pick the card my partner asked for,No,364064,okay,yes,0,5,
full_sample,6777-28246015-72f0-4cfc-9d74-c50be36a5400,1.546221169618e+12,helper,yes,answering honestly,"people really don't know the difference between clubs and spades??  cool beans,  please have a happy and safe new year!",314645,okay,yes,0,0,
full_sample,2278-86591ce2-1395-42a0-a882-f146bae81089,1.546221178391e+12,helper,yes,Choose the one of the pair that only happens once,,151406,liked,yes,1,30,
full_sample,5959-a52a63ec-8735-4f5c-90d3-a99bc84b9b45,1.546221216442e+12,helper,,started with top card usually,fun HIT,237139,liked,yes,1,15,
full_sample,5959-a52a63ec-8735-4f5c-90d3-a99bc84b9b45,1.546221216715e+12,seeker,yes,picked the two cards ,,278702,not much,yes,0,15,
full_sample,3185-309ce3a4-537d-4b81-9b1d-e045d36034f7,1.546221223656e+12,helper,confused,none,no,302317,okay,yes,1,15,
full_sample,2278-86591ce2-1395-42a0-a882-f146bae81089,1.546221225074e+12,seeker,yes,"It didn't really require much of a strategy, Reveal the cards needed or ask for the card that would show the needed cards,","Groovy,",224769,okay,yes,0,30,
full_sample,2885-fbc1e68e-d95d-499f-813b-c09e31e77a65,1.546221226672e+12,seeker,yes,I had no strategy,No,190487,not much,yes,0,5,
full_sample,3185-309ce3a4-537d-4b81-9b1d-e045d36034f7,1.54622123599e+12,seeker,yes,"I didn't really have one because I was a little confused as to how the game worked,",How could you always be able to do this within one turn?,318124,okay,yes,0,15,
full_sample,1290-87e07ac8-7fac-4e41-a103-17e6741b1988,1.546221245631e+12,seeker,yes,"My strategy was to eliminate the choice that wasn't given as a question from my partner,",Thank you!,312237,loved,yes,3,20,
full_sample,1426-bba7cbe5-01a6-412d-86f7-cb732e1715d6,1.546221253987e+12,helper,confused,I honestly ws lost???  I was very confused,"I tried my best but hit was confusing,",441718,okay,yes,2,10,
full_sample,1290-87e07ac8-7fac-4e41-a103-17e6741b1988,1.546221257906e+12,helper,yes,stating the card that was different in the combo,fun HIT,323773,liked,yes,0,20,
full_sample,1426-bba7cbe5-01a6-412d-86f7-cb732e1715d6,1.546221262003e+12,seeker,yes,It was to try and get my partner to reveal the right cards,,455540,liked,yes,0,10,
full_sample,9761-e7c015ac-ea93-4623-b43f-87756d815ae0,1.546221274951e+12,seeker,yes,I just picked the first card I saw,None,352841,okay,yes,0,5,
full_sample,6005-b343b1a5-e9fc-43ba-96b8-c1d7bb3ad681,1.546221275099e+12,seeker,confused,Just asking the questions ,none,394490,okay,yes,2,10,
full_sample,9761-e7c015ac-ea93-4623-b43f-87756d815ae0,1.546221278989e+12,helper,yes,None specifically,No,347613,okay,yes,0,5,
full_sample,3377-a5e642f8-c188-4460-839c-40af1504b1f2,1.546221302505e+12,seeker,yes,awful,,311204,okay,yes,1,5,
full_sample,6005-b343b1a5-e9fc-43ba-96b8-c1d7bb3ad681,1.54622130706e+12,helper,yes,Quickly following directions,,414878,loved,yes,0,10,
full_sample,6005-b343b1a5-e9fc-43ba-96b8-c1d7bb3ad681,1.546221311552e+12,helper,yes,Quickly following directions,,419378,loved,yes,0,10,
full_sample,6005-b343b1a5-e9fc-43ba-96b8-c1d7bb3ad681,1.546221318903e+12,helper,yes,Quickly following directions,,426730,loved,yes,0,10,
full_sample,3377-a5e642f8-c188-4460-839c-40af1504b1f2,1.546221325219e+12,helper,yes,ask about combo in the question not just part of it,,327683,liked,yes,1,5,
full_sample,4008-3f05f5c0-7b86-405f-a5b4-1457df0f5451,1.546221334712e+12,seeker,yes,"I did not get to play long enough to have a strategy,  The other player lost their connection on round 2,","Very interesting concept for a hit,  I would love to try it again, but I know what the instructions said,  So Good luck with your research and have a great night!",181806,okay,yes,0,0,
full_sample,4792-2962ffed-8e0e-463e-a81f-de482caaba90,1.546221338345e+12,helper,yes,none,no,246377,okay,yes,0,25,
full_sample,6005-b343b1a5-e9fc-43ba-96b8-c1d7bb3ad681,1.546221343089e+12,helper,yes,Quickly following directions,Itwas fun,450912,loved,yes,0,10,
full_sample,4792-2962ffed-8e0e-463e-a81f-de482caaba90,1.546221345927e+12,seeker,yes,make it easy and pick the right combo,,266850,not much,yes,0,25,
full_sample,3127-34ebbc7f-b293-4bf3-8a08-0f560874be62,1.546221346517e+12,seeker,yes,"It was great, though i mixed my cards up, an error on my part, like that my partner could help,",,470231,okay,yes,2,10,
full_sample,5092-e5856c11-15f4-48ce-843c-fabc46e2e186,1.546221353501e+12,seeker,yes,none,no,260817,liked,yes,1,25,
full_sample,6005-b343b1a5-e9fc-43ba-96b8-c1d7bb3ad681,1.546221356706e+12,helper,yes,Quickly following directions,Itwas fun,464532,loved,yes,0,10,
full_sample,6005-b343b1a5-e9fc-43ba-96b8-c1d7bb3ad681,1.546221371671e+12,helper,yes,Quickly following directions,Itwas fun,479496,loved,yes,0,10,
full_sample,5092-e5856c11-15f4-48ce-843c-fabc46e2e186,1.546221384256e+12,helper,yes,"If the combo had two cards, I made sure to ask about the one that wasn't common between them",I don't think that my partner was very strategic,290159,not much,yes,0,25,
full_sample,7029-500a3daa-6624-4f52-b7cc-456e61df8ab5,1.54622139122e+12,helper,yes,"was a little confusing honestly, i jsut tried to be helpful",,160519,okay,yes,3,0,
full_sample,6407-0246614d-6c47-496c-b4c5-0c7845a7fb09,1.546221453004e+12,helper,yes,"My partner lost connection in the first round so I wasn't able to play long enough to have a strategy,","Would like another opportunity to complete this hit again since I didn't really get to,",313573,okay,yes,1,0,
full_sample,6032-dd763fff-a7fd-4efa-8108-ec70a1094843,1.546221559552e+12,helper,yes,"I did not have a strategy,",,164937,okay,yes,0,15,
full_sample,6032-dd763fff-a7fd-4efa-8108-ec70a1094843,1.546221576292e+12,seeker,yes,state the obvious,No comments,191791,okay,yes,0,15,
full_sample,0119-a207bc19-dc29-472c-bda0-a600efcd1482,1.546221702917e+12,seeker,confused,"pure randomness,","Game didn't seem to flow very well,  Confusing,",451793,okay,yes,1,15,
full_sample,0119-a207bc19-dc29-472c-bda0-a600efcd1482,1.546221718607e+12,helper,yes,"I didn't understand at first but once I did I picked the card that was unique to the pair,","My partner never caught on but I can see how it's tricky and so it's fine,",391380,okay,yes,2,15,
full_sample,7586-e6c4d451-7199-4207-bbad-58d2dce6f39c,1.546221754425e+12,seeker,yes,,,554441,not much,yes,1,5,
full_sample,1762-fbca142f-50d5-4039-942a-1adb3b05908f,1.546221810615e+12,seeker,yes,"Being transparent with the first card,","nice! i would love to do more, ",371848,loved,yes,0,30,
full_sample,1762-fbca142f-50d5-4039-942a-1adb3b05908f,1.546221877385e+12,helper,yes,"I found the card they asked for and matched it with the remaining card, ",none,384337,okay,yes,0,30,
full_sample,1703-1f064c3a-4f52-4238-8c42-5d49cd89de43,1.546221881589e+12,seeker,yes,I chose the card the player asked for,no,364674,okay,yes,0,10,
full_sample,1703-1f064c3a-4f52-4238-8c42-5d49cd89de43,1.546221895552e+12,helper,yes,"Try to as for the right card,",thanks,315778,okay,yes,1,10,
full_sample,3982-1e176564-3d30-4705-96be-fe7fb1299e98,1.54622228352e+12,seeker,yes,"Trying to pick a card that was more obvious than the other one,",It seemed to take a little bit of time for everything to send through,687330,okay,yes,0,10,
full_sample,3982-1e176564-3d30-4705-96be-fe7fb1299e98,1.5462223025e+12,helper,confused,"To ask for the first card I needed,",,569062,liked,yes,1,10,
full_sample,7533-cb997872-a6cd-407f-b711-26cb3f8b6d52,1.546229314823e+12,seeker,yes,"To listen to my partner and pick the corresponding cards,","No,",267449,okay,yes,0,30,
full_sample,7533-cb997872-a6cd-407f-b711-26cb3f8b6d52,1.546229322786e+12,helper,yes,it was pretty simple; ask about the first listed card unless the same card was listed in both pairs,"thanks, interesting, you never know with MTurk (re: program vs actual other player), it was fun,",236871,loved,yes,1,30,
full_sample,9778-610cd130-239e-4291-b2ae-54bcee4e092b,1.546229356034e+12,helper,confused,"I didn't understand the game,",,346545,not much,yes,1,15,
full_sample,9778-610cd130-239e-4291-b2ae-54bcee4e092b,1.546229361624e+12,seeker,yes,"To target one card at a time while asking questions,",,430673,okay,yes,0,15,
full_sample,6046-5000ac89-95f9-4e3f-9c50-e5fa11256384,1.546229363033e+12,seeker,yes,"I didn't have a strategy in this experiment, I just paid attention to the combos that were possible, ",,276862,okay,yes,3,20,
full_sample,6046-5000ac89-95f9-4e3f-9c50-e5fa11256384,1.546229388678e+12,helper,yes,"Tried to ask the best questions and turn over two cards for the other player,","No,",297574,liked,yes,3,20,
full_sample,3753-406f759b-0e1c-4807-962c-d9cfb79c6a77,1.546229406536e+12,seeker,yes,"After I got the hang of it, to be as accurate as possible",no,298054,okay,yes,3,15,
full_sample,4579-aa922e62-d8fa-422a-96e3-7178581864ab,1.546229419374e+12,seeker,yes,trying to be quick,interesting ,271370,loved,yes,0,15,
full_sample,4579-aa922e62-d8fa-422a-96e3-7178581864ab,1.54622945776e+12,helper,yes,"I didn't realize until the third round that I could choose more than one card to reveal,  Then, you could use process of elimination to find the right combo,",,281172,okay,yes,1,15,
full_sample,3753-406f759b-0e1c-4807-962c-d9cfb79c6a77,1.546229459471e+12,helper,confused,"I did not ask about a card if it appeared in more than one option, When I was a helper, I generally revealed 2 cards, ",,349127,okay,yes,0,15,
full_sample,6306-87432a5b-8bc4-4ff6-8544-213814d9f8bf,1.546229473702e+12,seeker,yes,Simple,"Person lost connection andI didn't get to try to get a bonus, I feel cheated,",62621,liked,yes,1,0,
full_sample,9487-fa9413c6-c85f-4876-a266-a44947eca1f1,1.546229488685e+12,helper,yes,"I tried to pick the card that wasn't repeated to help my partner know which cards to reveal,","I wish my partner hadn't left, ",247295,okay,yes,0,5,
full_sample,2918-51159c7b-d0ae-44bb-91f7-6a6a733ba7d2,1.546229557319e+12,seeker,yes,"Answer the questions that were asked, ",Thanks for the bonus!,269124,liked,yes,2,20,
full_sample,7093-e6162d1e-14d5-4609-9d3d-1554b3156f11,1.546229572287e+12,seeker,yes,"Just pay attention,",I had fun,357379,loved,yes,0,30,
full_sample,7093-e6162d1e-14d5-4609-9d3d-1554b3156f11,1.54622958432e+12,helper,yes,I was watching the possible outcome from the given question,,363438,loved,yes,2,30,
full_sample,2918-51159c7b-d0ae-44bb-91f7-6a6a733ba7d2,1.546229594472e+12,helper,yes,"I tried to ask for the card that only existed in one combo, and I assumed my partner did the same",My partner didn't seem to realize that they could reveal more than one card at a time,267435,not much,yes,0,20,
full_sample,6279-fff019a8-7d40-429a-9bd2-73e7efd74e02,1.546229640274e+12,seeker,yes,describe the card you needed that was unique to a combination,no,367453,okay,yes,0,30,
full_sample,9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a,1.546229675855e+12,seeker,yes,"After I realized that I needed to type all that I needed in one statement, it was easier,",no,243488,loved,yes,0,15,
full_sample,9952-970d4fd1-bcd4-4d54-af9f-9f45e27e451a,1.546229685399e+12,helper,yes,"I tried to ask for the unique card so the other player knew what combination I wanted, (The other player did not understand this strategy,)","The other player didn't really understand the game,",237001,not much,yes,1,15,
full_sample,6279-fff019a8-7d40-429a-9bd2-73e7efd74e02,1.546229688858e+12,helper,confused,"I tried to pick the cards that would help the other player win,","not really but I had fun, I think I typed in the wrong card one time, but I would play this again if I had the chance!! Great HIT!!!",409340,loved,yes,1,30,
full_sample,6684-4dd14472-a001-46b9-9318-69e7859e8f0e,1.546229956809e+12,helper,yes,Just being communicative,"Sucked that they didn't select the queen of hearts to get the full bonus, Oh well,",298284,okay,yes,3,25,
full_sample,6684-4dd14472-a001-46b9-9318-69e7859e8f0e,1.546229957421e+12,seeker,yes,to give the uncommon card,,440469,loved,yes,2,25,
full_sample,6547-5b997036-f70b-4b94-9aee-3785417bfc51,1.546230069713e+12,seeker,yes,4/5,I enjoyed this game,363132,okay,yes,0,10,
full_sample,6547-5b997036-f70b-4b94-9aee-3785417bfc51,1.546230095027e+12,helper,yes,I tried to follow instructions,None,356323,okay,yes,0,10,
full_sample,6423-0ef57d8d-a1ee-4cc7-9499-b478f9896b98,1.546231242756e+12,seeker,yes,Following the directions,no,206072,not much,yes,0,20,
full_sample,6423-0ef57d8d-a1ee-4cc7-9499-b478f9896b98,1.546231305757e+12,helper,yes,"It took me 2 rounds to catch on and ask for the one card necessary to identify the pair, ","It was fun and I wish I had caught on a little quicker at the beginning, :) ",260849,liked,yes,0,20,
full_sample,9954-26cf7ff6-3a60-4b8b-8ad8-b161a9e2df42,1.546231350762e+12,helper,yes,"I don't know, I didn't understand this game as well as I thought I did, ",,276594,liked,yes,0,0,
full_sample,9954-26cf7ff6-3a60-4b8b-8ad8-b161a9e2df42,1.546231351276e+12,seeker,confused,"I tried to ask about the cards, and answer the questions asked, We didn't get any right, and I am unsure of what we did wrong",,283012,okay,yes,0,0,
full_sample,3144-14101ad1-1fb1-481d-b4e5-c4c1497b3134,1.546231433561e+12,helper,confused,"I just took a look at the highlighted cards and asked questions based on what I saw in the green box,",,255430,okay,yes,0,15,
full_sample,3915-0138a19d-ea1f-44dc-ad1f-a8c55dbdc4be,1.546231445057e+12,seeker,yes,"select both cards, even though you only ask about one",no,217921,liked,yes,0,15,
full_sample,6407-daf5bba2-c8d4-4d42-a1a5-3b2b152fd51a,1.546231462745e+12,helper,yes,Confusing,No,328972,okay,yes,0,5,
full_sample,6407-daf5bba2-c8d4-4d42-a1a5-3b2b152fd51a,1.546231464259e+12,seeker,yes,I just attempted to ask the correct questions,No,355492,liked,yes,0,5,
full_sample,6417-ca66a98c-d339-4350-89ee-5f4318274625,1.546231475895e+12,helper,confused,It seemed easy to just ask where the cards were,Not sure if you were supposed to name all the cards,224117,okay,yes,0,25,
full_sample,3915-0138a19d-ea1f-44dc-ad1f-a8c55dbdc4be,1.546231523171e+12,helper,yes,"Though I was a bit confused at first by the ""combinations"" that only consisted of 1 card, I quickly learned how to anticipate what my counterpart would need, and I would try to reveal both cards as soon as I was asked for one",,293163,okay,yes,0,15,
full_sample,3144-14101ad1-1fb1-481d-b4e5-c4c1497b3134,1.546231527427e+12,seeker,yes,"as a seeker, I asked to reveal the card that wasn't in both possible combos,

for example if the winning combo was 9 of hearts/6 of clubs and the other combo was 9 of hearts/5 of clubs, I asked to reveal 6 of clubs because I assumed helper would realize that nine of hearts had to be revealed,","partner didn't seem to understand that he could reveal two cards in a turn,",369982,not much,yes,1,15,
full_sample,6601-66e4b693-af81-48c4-a502-79aa954c3f92,1.546231551238e+12,seeker,yes,Maximize bonus,,366144,loved,yes,0,10,
full_sample,6601-66e4b693-af81-48c4-a502-79aa954c3f92,1.546231554052e+12,helper,yes,tried my best,very fun,368289,loved,yes,2,10,
full_sample,6417-ca66a98c-d339-4350-89ee-5f4318274625,1.546231594608e+12,seeker,yes,"I thought we could only ask about the location of one card and the partner had to chose the set based on that card, ex, both sets have a 4 of diamonds and the other cards are different, I asked about the location of the card in the set that was different from the 4 of diamonds, ","I liked the experiment, I would have been more challenging if my partner asked about the location of the different card when both sets contained a similar card, ",344855,okay,yes,1,25,
full_sample,7931-e1c53d4f-2740-4fe1-9404-5bd069a52a65,1.546231602328e+12,seeker,confused,tried to expose the common card in both combos,,177441,liked,yes,0,5,
full_sample,8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d,1.546231605552e+12,helper,yes,I tried to do the right thing! ,This was AWESOME! Wish I could do it again! ,592766,loved,yes,1,20,
full_sample,8383-cdec9266-355e-4e2f-84c3-a9bbb54e0f1d,1.546231646823e+12,seeker,confused,To be honest to my partner,"It appeared sometimes we won even without putting the right combo in,,,I don't get it?",671120,liked,yes,0,20,
full_sample,9795-9f0247e1-09c8-4a9e-9b16-d225285b237e,1.546231876806e+12,helper,confused,"there wasn't much strategy involved, Did not appear to have any rhyme or reason, ","Seems like the other person was unable to type a question on the final round, They said they were unable to click to type in a question, May be a bug in the program, ",555412,okay,yes,0,5,
full_sample,4122-f9c88f6d-7554-4914-a22a-93c7b76d9ebb,1.546231899965e+12,seeker,yes,try to find both cards to receive bonus,no,367374,liked,yes,2,15,
full_sample,4122-f9c88f6d-7554-4914-a22a-93c7b76d9ebb,1.546231906006e+12,helper,yes,good,na,342591,loved,yes,1,15,
full_sample,7924-398f3313-bf6f-4f3f-93cb-8bc3ce9019cc,1.546231907134e+12,helper,yes,When I was the seeker I found success in only asking for one of the card entries that were in the green outline,Fun experiment I would like to participate in more!,278198,loved,yes,0,25,
full_sample,7924-398f3313-bf6f-4f3f-93cb-8bc3ce9019cc,1.546231915765e+12,seeker,yes,"I would watch what the person asked, then click on both of the one's if they were part of the combo,",,301627,liked,yes,1,25,
full_sample,3218-4ef4770a-9606-432a-adf0-6fd03fee6785,1.546232002106e+12,helper,yes,i just looked at the combinations and made answers and question based on that,no,193454,loved,yes,0,30,
full_sample,3218-4ef4770a-9606-432a-adf0-6fd03fee6785,1.546232008172e+12,seeker,yes,"I viewed the possible combinations and the question asked and revealed the relevant cards,","Great HIT, Thank you!",218490,loved,yes,0,30,
full_sample,3235-166ade3a-4706-4ea2-8147-96d3f8b2a2ff,1.546232349674e+12,helper,yes,did not have one,no,532190,not much,yes,1,10,
full_sample,3235-166ade3a-4706-4ea2-8147-96d3f8b2a2ff,1.546232362971e+12,seeker,yes,"I just found out at the end that I had to go after the target card that was highlighted in the green and that's what earned the money,","No I wish I could play again,  It was fun,",551193,loved,yes,3,10,
full_sample,3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62,1.546232520078e+12,seeker,confused,"Not too good,  It took me too long to understand the game,","Fun experiment, I only wish I would have done better,",604188,loved,yes,2,10,
full_sample,3322-ca67ce1c-7b46-418e-9583-8d3a4fcd3e62,1.546232522109e+12,helper,yes,My strategy was to try and guess which card pair the partner was going for ,"The squares I clicked on weren't always the ones that highlighted, this made it difficult to progress succesfully",398116,okay,yes,1,10,
testing,3179-65b78874-18b0-464c-a311-269f98032507,1.546712049059e+12,helper,yes,to be as awesome as possible (sketchloop),omg so much fun (sketchloop),152123,loved,yes,0,30,seeker
single-player-pilot,6731-315c810d-5389-40df-8565-e6bd58376594,1.546717687749e+12,helper,yes,I tried to reveal and find the combo cards to earn the bonus,thanks,135610,okay,yes,0,15,seeker
single-player-pilot,0659-745c84b1-6b6f-4426-840a-18df07b03516,1.546718001262e+12,helper,yes,"As seeker, I just chose one of the cards from the combo, As the helper, I paid attention to the combos and revealed the corresponding one,",Thanks!,131429,liked,yes,0,30,seeker
single-player-pilot,0475-f939933a-b26b-445f-adc8-32cae09c05d4,1.54671835444e+12,seeker,yes,"There really wasn't much strategy to go on given the limited options,",,164945,okay,yes,0,25,helper
single-player-pilot,6711-0b510617-e0fd-4c05-874f-79ea51e45fd9,1.546718548136e+12,helper,yes,"Just trying to complete as many combos as i can,","I was under the impression that the hit it's self would take 10 minutes, Usually this does not include instructions, I feel i did not have enough time to fully understand them, I felt i was rushed, You should always make your hits 60 minutes minimum ",284397,okay,yes,0,15,seeker
